CustomerID,VisitCount,EligibleDiscount
C00001,6,False
C00002,5,False
C00003,14,True
C00004,8,False
C00005,4,False
C00006,36,True
C00007,41,True
C00008,5,False
C00009,5,False
C00010,40,True
C00011,9,False
C00012,15,True
C00013,10,False
C00014,45,True
C00015,5,False
C00016,9,False
C00017,19,True
C00018,12,True
C00019,24,True
C00020,11,True
C00021,6,False
C00022,8,False
C00023,22,True
C00024,36,True
C00025,44,True
C00026,10,False
C00027,7,False
C00028,11,True
C00029,10,False
C00030,5,False
C00031,17,True
C00032,13,True
C00033,56,True
C00034,3,False
C00035,18,True
C00036,9,False
C00037,22,True
C00038,12,True
C00039,21,True
C00040,9,False
C00041,9,False
C00042,32,True
C00043,12,True
C00044,42,True
C00045,26,True
C00046,1,False
C00047,8,False
C00048,3,False
C00049,3,False
C00050,4,False
C00051,15,True
C00052,11,True
C00053,6,False
C00054,6,False
C00055,2,False
C00056,16,True
C00057,20,True
C00058,4,False
C00059,7,False
C00060,14,True
C00061,4,False
C00062,15,True
C00063,15,True
C00064,4,False
C00065,22,True
C00066,31,True
C00067,5,False
C00068,15,True
C00069,47,True
C00070,14,True
C00071,18,True
C00072,4,False
C00073,4,False
C00074,13,True
C00075,28,True
C00076,4,False
C00077,5,False
C00078,1,False
C00079,13,True
C00080,32,True
C00081,3,False
C00082,4,False
C00083,23,True
C00084,10,False
C00085,5,False
C00086,19,True
C00087,11,True
C00088,10,False
C00089,10,False
C00090,10,False
C00091,13,True
C00092,15,True
C00093,10,False
C00094,11,True
C00095,46,True
C00096,4,False
C00097,24,True
C00098,7,False
C00099,25,True
C001,1914,True
C00100,8,False
C00101,43,True
C00102,30,True
C00103,5,False
C00104,25,True
C00105,14,True
C00106,22,True
C00107,9,False
C00108,15,True
C00109,9,False
C00110,9,False
C00111,16,True
C00112,17,True
C00113,18,True
C00114,6,False
C00115,15,True
C00116,8,False
C00117,19,True
C00118,4,False
C00119,15,True
C00120,23,True
C00121,5,False
C00122,5,False
C00123,8,False
C00124,5,False
C00125,18,True
C00126,6,False
C00127,20,True
C00128,3,False
C00129,43,True
C00130,4,False
C00131,10,False
C00132,15,True
C00133,24,True
C00134,14,True
C00135,5,False
C00136,20,True
C00137,34,True
C00138,6,False
C00139,2,False
C00140,21,True
C00141,12,True
C00142,13,True
C00143,18,True
C00144,7,False
C00145,10,False
C00146,5,False
C00147,4,False
C00148,20,True
C00149,3,False
C00150,11,True
C00151,10,False
C00152,5,False
C00153,7,False
C00154,14,True
C00155,6,False
C00156,21,True
C00157,8,False
C00158,8,False
C00159,48,True
C00160,18,True
C00161,14,True
C00162,18,True
C00163,9,False
C00164,12,True
C00165,15,True
C00166,16,True
C00167,22,True
C00168,34,True
C00169,18,True
C00170,8,False
C00171,18,True
C00172,24,True
C00173,26,True
C00174,6,False
C00175,5,False
C00176,15,True
C00177,4,False
C00178,8,False
C00179,5,False
C00180,19,True
C00181,2,False
C00182,13,True
C00183,29,True
C00184,5,False
C00185,9,False
C00186,18,True
C00187,21,True
C00188,2,False
C00189,13,True
C00190,8,False
C00191,4,False
C00192,2,False
C00193,41,True
C00194,9,False
C00195,2,False
C00196,14,True
C00197,20,True
C00198,1,False
C00199,6,False
C00200,13,True
C00201,7,False
C00202,4,False
C00203,3,False
C00204,18,True
C00205,11,True
C00206,6,False
C00207,33,True
C00208,17,True
C00209,8,False
C00210,8,False
C00211,27,True
C00212,15,True
C00213,7,False
C00214,11,True
C00215,6,False
C00216,34,True
C00217,1,False
C00218,32,True
C00219,9,False
C00220,13,True
C00221,20,True
C00222,14,True
C00223,3,False
C00224,2,False
C00225,4,False
C00226,3,False
C00227,9,False
C00228,9,False
C00229,37,True
C00230,15,True
C00231,28,True
C00232,8,False
C00233,9,False
C00234,22,True
C00235,15,True
C00236,37,True
C00237,6,False
C00238,17,True
C00239,12,True
C00240,4,False
C00241,5,False
C00242,8,False
C00243,11,True
C00244,9,False
C00245,10,False
C00246,22,True
C00247,3,False
C00248,10,False
C00249,23,True
C00250,9,False
C00251,8,False
C00252,4,False
C00253,5,False
C00254,22,True
C00255,1,False
C00256,9,False
C00257,13,True
C00258,2,False
C00259,20,True
